"code","iso","country","GL5.raw.1997","GL5.raw.1998","GL5.raw.1999","GL5.raw.2000","GL5.raw.2001","GL5.raw.2002","GL5.raw.2003","GL5.raw.2004","GL5.raw.2005","GL5.raw.2006","GL5.raw.2007","GL5.raw.2008","GL5.raw.2009","GL5.raw.2010","GL5.raw.2011","GL5.raw.2012","GL5.raw.2013","GL5.raw.2014","GL5.raw.2015"
398,"KAZ","Kazakhstan",3606.84,5312.25,12378.96,23594.49,27299.43,27963,27320.31,23989.77,12698.19,9239.58,8199.63,9592.74,10255.77,15498.54,16743.06,16199.91,15026.13,12226.68,6340.68
404,"KEN","Kenya",369.54,422.37,514.17,987.57,1546.65,1484.73,1533.51,1594.89,1176.48,730.35,935.46,1301.22,1304.73,1447.11,1290.06,1001.97,777.6,986.13,764.28
296,"KIR","Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,"XKX","Kosovo",0.18,0.18,0.27,0.45,0.72,0.72,1.71,4.05,3.87,5.85,7.65,11.16,10.08,9.99,7.83,5.94,1.44,0.72,0.9
414,"KWT","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,"KGZ","Kyrgyzstan",1071,1332.27,2289.51,2383.02,2225.52,2358.18,2245.32,1741.14,1530.54,1387.89,1550.61,1754.01,1473.39,1462.59,1228.14,1007.28,823.95,960.93,790.38
418,"LAO","Laos",29.97,29.97,31.05,4.86,2.97,1.17,1.17,0.54,0.54,0.81,0.81,0.81,0.72,0.63,0.45,0.45,0.45,7.92,7.92
428,"LVA","Latvia",1.98,2.07,2.61,1.26,3.69,8.55,17.91,19.35,21.87,20.7,16.74,10.8,25.56,23.94,22.59,21.33,25.02,51.84,51.57
422,"LBN","Lebanon",0,0,0,0,0,0,0,0,3.06,4.5,6.39,6.39,6.39,3.33,1.89,0,0,0,0
426,"LSO","Lesotho",16.47,37.89,76.68,308.07,374.22,414.54,456.3,463.95,235.26,164.97,125.73,73.89,51.84,56.88,55.62,49.5,52.11,81.63,73.62
430,"LBR","Liberia",2.16,1.89,1.35,1.26,1.44,1.26,1.26,1.08,1.89,1.8,2.52,2.43,2.43,1.53,0.9,0.18,0.27,0.54,0.54
434,"LBY","Libya",70.2,118.62,216.81,208.53,211.41,185.22,137.79,45.09,32.13,20.61,14.49,14.85,9.9,4.32,2.25,2.25,0.9,0,0
